TYPENAME,,PartNonMesh,,Module,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Module.Name,,,,,,,,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildMaterial,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimension,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimWD,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLW,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimThk,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLWH,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildProfile,,,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Module.Name,DataType=Dimensions,Dimension,Value,UI Group,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,DataType=InputPins,ChildMaterial,ChildDimension,ChildDimWD,ChildDimLW,ChildDimThk,ChildDimLWH,ChildProfile,DataType=TG_Parent Node+CategoryPath,TG_ParentNode+CategoryPath
,,Assembly_Layer-Thickness-0.125in-Finish1-0RawMaterial-Cork---FFFFFF,,Assembly_Layer,,"1/8in, Cork, Natural",,Thickness,0.125in,Major,,,,Finish1,0RawMaterial-Cork,-,0,FFFFFF,,1Material_Fibrous_Cork-0RawMaterial-Cork-0Color_Fibrous_Cork-FFFFFF-Natural,,,,0DimThk-0.125inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-5mm-Finish1-0RawMaterial-Felt---44443C,,Assembly_Layer,,"5mm, Felt, Weathered Brown",,Thickness,5mm,Major,,,,Finish1,0RawMaterial-Felt,-,0,44443C,,1Material_Fabric and Upholstery_Felt-0RawMaterial-Felt-0Color_Fabric and Upholstery_Felt-44443C-WeatheredBrown,,,,0DimThk-5mmT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-0.1875in-Finish1-0RawMaterial-Foam (Extruded Polystyrene)---FAF1D0,,Assembly_Layer,,"3/16in, Foam (Extruded Polystyrene), Yellow",,Thickness,0.1875in,Major,,,,Finish1,0RawMaterial-Foam (Extruded Polystyrene),-,0,FAF1D0,,1Material_Synthetic and Polymer_Foam - Extruded Polystyrene-0RawMaterial-Foam (Extruded Polystyrene)-0Color_Synthetic and Polymer_Foam - Extruded Polystyrene-FAF1D0-Yellow,,,,0DimThk-0.1875inT,,,,
,,,,,,,,IconLength,64in,Preview,,,,,,,,,,,,,,,,,,
,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,,,,,,,,,
,,Assembly_Layer-Thickness-0.125in-Finish1-0RawMaterial-Steel---CCCCCC,,Assembly_Layer,,"1/8in, Aluminum, Birch",,Thickness,0.125in,Major,,,,Finish1,0RawMaterial-Steel,-,0,CCCCCC,,1Material_Metal_Aluminum-0RawMaterial-Aluminum-0Color_Metal_Aluminum-F4F3D7-Birch,,,,0DimThk-0.125inT,,,,
