TYPENAME,,PartNonMesh,,Module,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Module.Name,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Module.Name,DataType=Dimensions,Dimension,Value,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.0625in-Finish1-0RawMaterial-Plastic-6B6B6B,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/16in, Plastic, Gray 6",,Thickness,0.0625in,,,,Finish1,0RawMaterial-Plastic,,0,6B6B6B,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.5in-Finish1-0RawMaterial-Carpet (Medium Profile)-E9EAE6,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/2in, Carpet (Medium Profile)",,Thickness,0.5in,,,,Finish1,0RawMaterial-Carpet (Medium Profile),,0,E9EAE6,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.125in-Finish1-0RawMaterial-Cork-FFFFFF,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/8in, Cork",,Thickness,0.125in,,,,Finish1,0RawMaterial-Cork,,0,FFFFFF,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-5mm-Finish1-0RawMaterial-Felt-44443C,,Assembly_2FlexDims1Fixed_PlanarPattern,,"5mm, Felt, Weathered Brown",,Thickness,5mm,,,,Finish1,0RawMaterial-Felt,,0,44443C,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.1875in-Finish1-0RawMaterial-Foam (Extruded Polystyrene)-FAF1D0,,Assembly_2FlexDims1Fixed_PlanarPattern,,"3/16in, Foam (Extruded Polystyrene), Yellow",,Thickness,0.1875in,,,,Finish1,0RawMaterial-Foam (Extruded Polystyrene),,0,FAF1D0,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
,,,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-0.125in-Finish1-0RawMaterial-Steel-CCCCCC,,Assembly_2FlexDims1Fixed_PlanarPattern,,"1/8in, Aluminum, Birch",,Thickness,0.125in,,,,Finish1,0RawMaterial-Steel,,0,CCCCCC,
,,,,,,,,,,IconLength,64in,,,,,,,,,
,,,,,,,,,,IconHeight,48in,,,,,,,,,
