TYPENAME,,0Color,,Color,,,,
,,Definition,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,
PROPERTY,,DisplayText,,Name,,Color.Name,,
PROPERTY,,HexValue,,,,Color.HEXValue,,
,,Presets,,,,,,
TAGPATHS,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Color.Name,Color.HEXValue,
PRESET,,0Color_Fabric and Upholstery_Felt-D9D9D9-White,,0Color_Fabric and Upholstery_Felt,,White,D9D9D9,
PRESET,,0Color_Fabric and Upholstery_Leather-B69377-Natural,,0Color_Fabric and Upholstery_Leather,,Natural,B69377,
PRESET,,0Color_Fabric and Upholstery_Leather-8C5131-LightBrown,,0Color_Fabric and Upholstery_Leather,,Light Brown,8C5131,
PRESET,,0Color_Fabric and Upholstery_Leather-46413E-AntiqueBrown,,0Color_Fabric and Upholstery_Leather,,Antique Brown,46413E,
PRESET,,0Color_Fabric and Upholstery_Leather-2A2927-DarkBrown,,0Color_Fabric and Upholstery_Leather,,Dark Brown,2A2927,
PRESET,,0Color_Fabric and Upholstery_Leather-5B5B67-Gray,,0Color_Fabric and Upholstery_Leather,,Gray,5B5B67,
PRESET,,0Color_Fabric and Upholstery_Leather-141517-Black,,0Color_Fabric and Upholstery_Leather,,Black,141517,
PRESET,,0Color_Fabric and Upholstery_Leather-556A57-Jade,,0Color_Fabric and Upholstery_Leather,,Jade,556A57,
PRESET,,0Color_Fabric and Upholstery_Silk-FFFFFF-Untinted,,0Color_Fabric and Upholstery_Silk,,Untinted,FFFFFF,
PRESET,,0Color_Fabric and Upholstery_Silk-CCCCCC-Dark,,0Color_Fabric and Upholstery_Silk,,Dark,CCCCCC,
PRESET,,0Color_Fabric and Upholstery_Velvet-FFFFFF-Untinted,,0Color_Fabric and Upholstery_Velvet,,Untinted,FFFFFF,
PRESET,,0Color_Fabric and Upholstery_Velvet-CCCCCC-Dark,,0Color_Fabric and Upholstery_Velvet,,Dark,CCCCCC,
PRESET,,0Color_Fabric and Upholstery_Vinyl-FFFFFF-Untinted,,0Color_Fabric and Upholstery_Vinyl,,Untinted,FFFFFF,
PRESET,,0Color_Fabric and Upholstery_Vinyl-CCCCCC-Dark,,0Color_Fabric and Upholstery_Vinyl,,Dark,CCCCCC,
PRESET,,0Color_Ceramic_Clay-A05633-Natural,,0Color_Ceramic_Clay,,Natural,A05633,
